,0,1,2,3,4
553,553,A1,A3,B2,C4
554,554,A1,A3,B2,TZ
555,555,A1,A3,B3,A1
556,556,A1,A3,B3,A2
557,557,A1,A3,B3,A3
558,558,A1,A3,B3,A4
559,559,A1,A3,B3,TX
560,560,A1,A3,B3,B1
561,561,A1,A3,B3,B2
562,562,A1,A3,B3,B3
563,563,A1,A3,B3,B4
564,564,A1,A3,B3,TY
565,565,A1,A3,B3,C1
566,566,A1,A3,B3,C2
567,567,A1,A3,B3,C3
568,568,A1,A3,B3,C4
569,569,A1,A3,B3,TZ
570,570,A1,A3,B4,A1
571,571,A1,A3,B4,A2
572,572,A1,A3,B4,A3
573,573,A1,A3,B4,A4
574,574,A1,A3,B4,TX
575,575,A1,A3,B4,B1
576,576,A1,A3,B4,B2
577,577,A1,A3,B4,B3
578,578,A1,A3,B4,B4
579,579,A1,A3,B4,TY
580,580,A1,A3,B4,C1
581,581,A1,A3,B4,C2
582,582,A1,A3,B4,C3
583,583,A1,A3,B4,C4
584,584,A1,A3,B4,TZ
585,585,A1,A3,TY,A1
586,586,A1,A3,TY,A2
587,587,A1,A3,TY,A3
588,588,A1,A3,TY,A4
589,589,A1,A3,TY,TX
590,590,A1,A3,TY,B1
591,591,A1,A3,TY,B2
592,592,A1,A3,TY,B3
593,593,A1,A3,TY,B4
594,594,A1,A3,TY,TY
595,595,A1,A3,TY,C1
596,596,A1,A3,TY,C2
597,597,A1,A3,TY,C3
598,598,A1,A3,TY,C4
599,599,A1,A3,TY,TZ
600,600,A1,A3,C1,A1
601,601,A1,A3,C1,A2
602,602,A1,A3,C1,A3
603,603,A1,A3,C1,A4
604,604,A1,A3,C1,TX
605,605,A1,A3,C1,B1
606,606,A1,A3,C1,B2
607,607,A1,A3,C1,B3
608,608,A1,A3,C1,B4
609,609,A1,A3,C1,TY
610,610,A1,A3,C1,C1
611,611,A1,A3,C1,C2
612,612,A1,A3,C1,C3
613,613,A1,A3,C1,C4
614,614,A1,A3,C1,TZ
615,615,A1,A3,C2,A1
616,616,A1,A3,C2,A2
617,617,A1,A3,C2,A3
618,618,A1,A3,C2,A4
619,619,A1,A3,C2,TX
620,620,A1,A3,C2,B1
621,621,A1,A3,C2,B2
622,622,A1,A3,C2,B3
623,623,A1,A3,C2,B4
624,624,A1,A3,C2,TY
625,625,A1,A3,C2,C1
626,626,A1,A3,C2,C2
627,627,A1,A3,C2,C3
628,628,A1,A3,C2,C4
629,629,A1,A3,C2,TZ
630,630,A1,A3,C3,A1
631,631,A1,A3,C3,A2
632,632,A1,A3,C3,A3
633,633,A1,A3,C3,A4
634,634,A1,A3,C3,TX
635,635,A1,A3,C3,B1
636,636,A1,A3,C3,B2
637,637,A1,A3,C3,B3
638,638,A1,A3,C3,B4
639,639,A1,A3,C3,TY
640,640,A1,A3,C3,C1
641,641,A1,A3,C3,C2
642,642,A1,A3,C3,C3
643,643,A1,A3,C3,C4
644,644,A1,A3,C3,TZ
645,645,A1,A3,C4,A1
646,646,A1,A3,C4,A2
647,647,A1,A3,C4,A3
648,648,A1,A3,C4,A4
649,649,A1,A3,C4,TX
650,650,A1,A3,C4,B1
651,651,A1,A3,C4,B2
652,652,A1,A3,C4,B3
653,653,A1,A3,C4,B4
654,654,A1,A3,C4,TY
655,655,A1,A3,C4,C1
656,656,A1,A3,C4,C2
657,657,A1,A3,C4,C3
658,658,A1,A3,C4,C4
659,659,A1,A3,C4,TZ
660,660,A1,A3,TZ,A1
661,661,A1,A3,TZ,A2
662,662,A1,A3,TZ,A3
663,663,A1,A3,TZ,A4
664,664,A1,A3,TZ,TX
665,665,A1,A3,TZ,B1
666,666,A1,A3,TZ,B2
667,667,A1,A3,TZ,B3
668,668,A1,A3,TZ,B4
669,669,A1,A3,TZ,TY
670,670,A1,A3,TZ,C1
671,671,A1,A3,TZ,C2
672,672,A1,A3,TZ,C3
673,673,A1,A3,TZ,C4
674,674,A1,A3,TZ,TZ
675,675,A1,A4,A1,A1
676,676,A1,A4,A1,A2
677,677,A1,A4,A1,A3
678,678,A1,A4,A1,A4
679,679,A1,A4,A1,TX
680,680,A1,A4,A1,B1
681,681,A1,A4,A1,B2
682,682,A1,A4,A1,B3
683,683,A1,A4,A1,B4
684,684,A1,A4,A1,TY
685,685,A1,A4,A1,C1
686,686,A1,A4,A1,C2
687,687,A1,A4,A1,C3
688,688,A1,A4,A1,C4
689,689,A1,A4,A1,TZ
690,690,A1,A4,A2,A1
691,691,A1,A4,A2,A2
692,692,A1,A4,A2,A3
693,693,A1,A4,A2,A4
694,694,A1,A4,A2,TX
695,695,A1,A4,A2,B1
696,696,A1,A4,A2,B2
697,697,A1,A4,A2,B3
698,698,A1,A4,A2,B4
699,699,A1,A4,A2,TY
700,700,A1,A4,A2,C1
701,701,A1,A4,A2,C2
702,702,A1,A4,A2,C3
703,703,A1,A4,A2,C4
704,704,A1,A4,A2,TZ
705,705,A1,A4,A3,A1
706,706,A1,A4,A3,A2
707,707,A1,A4,A3,A3
708,708,A1,A4,A3,A4
709,709,A1,A4,A3,TX
710,710,A1,A4,A3,B1
711,711,A1,A4,A3,B2
712,712,A1,A4,A3,B3
713,713,A1,A4,A3,B4
714,714,A1,A4,A3,TY
715,715,A1,A4,A3,C1
